FishID,pop,sex,habitat_temp,pair,state,subgroup,latitude,accl_order,wam_date12,wam_length12,wam_mass12,tenth_perc_MO2_mg_hr12,tenth_perc_MO2_mg_hr_kg12,wam_date28,wam_length28,wam_mass28,tenth_perc_MO2_mg_hr28,tenth_perc_MO2_mg_hr_kg28,ctmax_length12,ctmax_mass12,ctmax_date12,ctmax12,ctmax_length28,ctmax_mass28,ctmax_date28,ctmax28,cam_date,cam_length,cam_mass,heart_mass,Glucose_MR_pmol_s12,FA_MR_pmol_s12,LKA_MR_pmol_s12,Endogenous_MR_pmol_s12,Glucose_MR_pmol_s28,FA_MR_pmol_s28,LKA_MR_pmol_s28,Endogenous_MR_pmol_s28
G1O5R6,RVMA,F,23.49572,RVMA-EHMA,MA,N,41.674169,12 to 28,4/26/19,65,7.2,2.194190462,0.000304749,6/10/19,66,6.8,3.746239122,0.000550918,65,7.2,5/15/19,32.87,66,6.8,6/24/19,42.05,7/23/19,72,8.3,0.007,NA,NA,NA,NA,43.92250813,31.5799917,19.32442951,1.845638948
O1G3R4,OCME,F,18.06903,OCME-PEAME,ME,N,44.421147,12 to 28,4/26/19,65,7.2,2.127196963,0.000295444,6/10/19,64,7.2,6.35241647,0.00088228,65,7.2,5/14/19,32.94,64,7.2,6/24/19,41.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G4G5O6,PENME,F,21.35523,PENME-DIME,ME,N,44.4663861,12 to 28,4/26/19,85,19.3,3.178068269,0.000164667,6/14/19,80,14.7,8.811023597,0.000599389,85,19.3,5/15/19,33.84,80,14.7,7/3/19,40.83,7/29/19,87,19.1,0.02,NA,NA,NA,NA,49.25129516,40.56252261,32.69074331,34.94836228
G2R4R5,DIME,F,16.92318,PENME-DIME,ME,N,44.165011,12 to 28,4/26/19,55,2.9,1.40423643,0.000484219,NA,NA,NA,NA,NA,55,2.9,5/15/19,33.73,58,3.9,6/25/19,42.05,7/25/19,68,5.6,0.007,NA,NA,NA,NA,25.26927983,18.96652675,10.22063194,1.013011935
P1G2O4,OCME,M,18.06903,OCME-PEAME,ME,N,44.421147,12 to 28,4/26/19,66,6.1,2.758525923,0.000452217,6/12/19,66,6.7,6.017135715,0.00089808,66,6.1,5/14/19,33.77,66,6.7,6/25/19,41.34,7/25/19,71,8.7,0.012,NA,NA,NA,NA,43.53803118,30.57819433,30.69066869,13.29335753
R1P3R6,PEAME,M,15.63283,OCME-PEAME,ME,N,44.29059,12 to 28,4/26/19,60,4.6,1.684663157,0.000366231,6/10/19,63,5.4,5.498157996,0.001018177,60,4.6,5/15/19,33.02,63,5.4,6/24/19,41.55,7/23/19,66,6.4,0.005,NA,NA,NA,NA,45.90577188,24.72794599,18.72095739,3.768724715
R4O5R6,PENME,M,21.35523,PENME-DIME,ME,N,44.4663861,12 to 28,4/26/19,59,4,1.389700155,0.000347425,6/11/19,61,4.2,5.969990565,0.001421426,59,4,5/14/19,33.75,61,4.2,6/25/19,41.5,7/24/19,63,5.4,0.005,NA,NA,NA,NA,62.43686863,22.08925661,8.941592949,17.05157475
R2R3G6,OCME,M,18.06903,OCME-PEAME,ME,N,44.421147,12 to 28,4/26/19,58,4.6,1.58005332,0.00034349,6/12/19,53,4.4,4.402483499,0.001000564,58,4.6,5/14/19,33.45,53,4.4,7/2/19,41.31,7/25/19,60,4.9,0.007,NA,NA,NA,NA,30.95630829,18.34373745,4.246158349,NA
R2R4P6,OCME,M,18.06903,OCME-PEAME,ME,N,44.421147,12 to 28,4/26/19,55,3.3,2.261820862,0.0006854,6/12/19,57,4.2,6.455866907,0.001537111,55,3.3,5/14/19,33.11,57,4.2,7/2/19,41.22,7/25/19,61,5.3,0.003,NA,NA,NA,NA,18.9389768,8.229584714,NA,NA
O2G4P5,RVMA,M,23.49572,RVMA-EHMA,MA,N,41.674169,12 to 28,4/26/19,76,11.6,2.108563851,0.000181773,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
